Lode útočníka (Pozemská Aliancia, Kolónia Drakhov)
Meno lode/letky	Vlastník	Presnosť	Stav	Model	Počet	HP	Útok S/L	Stratégia
Kn'thrak	Inquisitor	0.50000	100%	[K] Drakh Cruiser	1	45'000	38'000/10'000	S;K;L;D
ivo157	ivo15	0.50000	100%	[K] Drakh Cruiser	1	45'000	38'000/10'000	S;K;L;D
Eplonin	dragon	0.50000	100%	[K] Olympus Corvette	1	9'000	16'000/500	S;K;L;D
Rinout	dragon	0.50000	100%	[K] Olympus Corvette	1	9'000	16'000/500	S;K;L;D
Teino	dragon	0.50000	100%	[K] Olympus Corvette	1	9'000	16'000/500	S;K;L;D
Ymomung	dragon	0.50000	100%	[K] Olympus Corvette	1	9'000	16'000/500	S;K;L;D
Daniel	jakop	0.50000	100%	[K] Olympus Corvette	1	9'000	16'000/500	S;K;L;D
Nikita	jakop	0.50000	100%	[K] Olympus Corvette	1	9'000	16'000/500	S;K;L;D
Alexandra	jakop	0.50000	100%	[K] Olympus Corvette	1	9'000	16'000/500	S;K;L;D
Virginie	jakop	0.50000	100%	[K] Olympus Corvette	1	9'000	16'000/500	S;K;L;D
Betty	jakop	0.50000	100%	[K] Olympus Corvette	1	9'000	16'000/500	S;K;L;D
Ariel	jakop	0.50000	100%	[K] Olympus Corvette	1	9'000	16'000/500	S;K;L;D
Glliselda	Gaterinka	0.50000	100%	[L] Drakh Advanced	1	70'000	0/100'000	K;L;D;S
Lara	Gaterinka	0.50000	100%	[L] Drakh Advanced	1	70'000	0/100'000	K;L;D;S
Lyra	Gaterinka	0.50000	100%	[L] Drakh Advanced	1	70'000	0/100'000	K;L;D;S
Kn'thrak	Inquisitor	0.56300	100%	[L] Drakh Advanced	1	70'000	0/100'000	K;L;D;S
Kn'thrak	Inquisitor	0.50000	100%	[L] Drakh Advanced	1	70'000	0/100'000	K;L;D;S
ivo155	ivo15	0.50000	100%	[L] Drakh Carrier	1	72'000	12'800/41'600	L;K;D;S
ivo156	ivo15	0.50000	100%	[L] Drakh Carrier	1	72'000	12'800/41'600	L;K;D;S
Umqlu	dragon	0.57447	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
Iminos	dragon	0.52979	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
Omaniac	dragon	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
Prolton	dragon	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
Awana	dragon	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
Slejnwar	dragon	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
Droplonny	dragon	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
Felowis	dragon	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
Guomon	dragon	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
Agamemnon NCC-11638	jakop	0.52979	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;S;D
Bára	jakop	0.60425	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;S;D
Arctic One	jakop	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;S;D
Argo (NCC-1701-E)	jakop	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;S;D
Archer NCC-44278	jakop	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;S;D
Archon	jakop	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;S;D
USS KRAMPLOVA	mul	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
USS KOZLIK	mul	0.50000	100%	[L] Warlock Destroyer	1	25'000	0/47'000	K;L;D;S
EAO Headbang	Sharp	0.50000	100%	[L] Omega Destroyer	1	53'000	1'500/39'000	K;L;D;S
EAO New	Sharp	0.50000	100%	[L] Omega Destroyer	1	53'000	1'500/39'000	K;L;D;S
Útok stíhače [S/L]: 0/0	Útok lode [S/L]: 132300/760100	HP spolu [S/K/L/D]: 0/180000/1025000/0


Lode obrancu (Minbarská Federácia, Narnský Režim, Vorlonské Impérium)
Meno lode/letky	Vlastník	Presnosť	Stav	Model	Počet	HP	Útok S/L	Stratégia
Letka 817	popo	0.50000	-	[S] Nial Fighter	20	3'600	2'500/3'100	-
Letka 893	amonyx	0.50000	-	[S] Gorith Fighter	12	1'200	0/3'500	-
Fighter Group 1	Stumpy	0.50000	-	[S] Frazi	30	2'200	1'700/1'750	-
Fighter Group 2	Stumpy	0.50000	-	[S] Frazi	30	2'200	1'700/1'750	-
Fighter Group 3	Stumpy	0.50000	-	[S] Frazi	30	2'200	1'700/1'750	-
Fighter Group 4	Stumpy	0.50000	-	[S] Frazi	30	2'200	1'700/1'750	-
Fighter Group 5	Stumpy	0.50000	-	[S] Frazi	30	2'200	1'700/1'750	-
Fighter Group 6	Stumpy	0.50000	-	[S] Frazi	30	2'200	1'700/1'750	-
Letka 905	Clint	0.50000	-	[S] Lightning	4	4'500	3'350/4'000	-
Letka Prometheus	ridick	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Lord Marsshal	ridick	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Auriga	ridick	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Nostromo	ridick	0.50000	-	[S] Lightning	3	4'500	3'350/4'000	-
Letka Nemesis	ridick	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Ursa Luna	ridick	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka USS Sulaco	ridick	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Agard	ridick	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Black Hawk	ridick	0.51587	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Agamemnon	ridick	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Ragnarök	ridick	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Icarus	ridick	0.50000	-	[S] Lightning	4	4'500	3'350/4'000	-
Letka Valkyra	ridick	0.51587	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Cerebro	ridick	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka Valhala	ridick	0.50000	-	[S] Lightning	2	4'500	3'350/4'000	-
Letka	Shaltok	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
Letka	Shaltok	0.50000	-	[S] Lightning	6	4'500	3'350/4'000	-
1	Daemon_Tool	0.58750	100%	[K] Torotha Assault	1	11'000	32'000/0	-
1	Daemon_Tool	0.50000	100%	[K] Torotha Assault	1	11'000	32'000/0	-
1	Daemon_Tool	0.52188	100%	[K] Torotha Assault	1	11'000	32'000/0	-
1	Daemon_Tool	0.52188	100%	[K] Torotha Assault	1	11'000	32'000/0	-
1	imro	0.66549	84%	[K] Tinashi Frigate	1	36'000	33'000/9'300	-
1	imro	0.56620	100%	[K] Tinashi Frigate	1	36'000	33'000/9'300	-
1	imro	0.58275	100%	[K] Tinashi Frigate	1	36'000	33'000/9'300	-
1	imro	0.58275	100%	[K] Tinashi Frigate	1	36'000	33'000/9'300	-
1	imro	0.53310	100%	[K] Tinashi Frigate	1	36'000	33'000/9'300	-
Omracovac	Jofo	0.56619	100%	[K] Tinashi Frigate	1	36'000	33'000/9'300	-
.	malus	0.56563	98%	[K] Torotha Assault	1	11'000	32'000/0	-
